age,A2,C1,D2,D4,D8,D10,D15,job,F15,M8,E17,G1,J2,J4,J9,E1,E2,J17,M6,life_satisfaction
49,Average,No,Rarely,Often,Rarely,Often,Often,Holds an ordinary or supported job,9,Good,Friends/colleagues,No,Less frequently,Once a week,Less frequently,185,82,18,500,Medium
39,Well,No,Rarely,Often,Rarely,Often,Often,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Several times a month,Less frequently,183,75,2,1000,High
64,Average,No,Sometimes,Often,Always,Sometimes,Rarely,Doesn't hold an ordinary or supported job,6,Average,Friends/colleagues,No,Less frequently,Once a month,Several times a month,158,60,1,4000,Medium
30,Well,No,Always,Always,Always,Often,Rarely,Doesn't hold an ordinary or supported job,9,Bad,Friends/colleagues,No,Several times a month,Several times a week,Never,190,76,0,400,Low
48,Well,No,Sometimes,Rarely,Often,Sometimes,Sometimes,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Less frequently,Never,175,94,0,2000,High
36,Well,Yes,Rarely,Often,Never,Often,Often,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Once a week,Several times a month,Several times a month,171,77,1,500,High
39,Average,No,Sometimes,Sometimes,Always,Sometimes,Often,Doesn't hold an ordinary or supported job,9,Bad,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Never,Less frequently,168,88,1,500,High
53,Well,No,Rarely,Often,Sometimes,Often,Always,Holds an ordinary or supported job,9,Very good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Once a week,Less frequently,164,62,2,500,High
48,Well,No,Rarely,Often,Sometimes,Often,Sometimes,Holds an ordinary or supported job,7,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Less frequently,Less frequently,164,65,1,2000,High
52,Well,No,Sometimes,Sometimes,Sometimes,Often,Sometimes,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Several times a month,Less frequently,180,84,1,1000,High
42,Well,No,Rarely,Often,Rarely,Often,Often,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Several times a month,Several times a month,189,90,5,1000,High
57,Average,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Doesn't hold an ordinary or supported job,2,Average,Friends/colleagues,No,Less frequently,Several times a week,Less frequently,178,140,1,8000,Medium
37,Well,No,Rarely,Sometimes,Sometimes,Often,Sometimes,Holds an ordinary or supported job,6,Bad,Partner/spouse/boy-/girlfriend,Yes,Once a month,Once a month,Once a month,180,83,1,300,High
61,Average,No,Never,Often,Rarely,Often,Sometimes,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Several times a month,Less frequently,180,119,5,10000,High
53,Very well,No,Never,Often,Rarely,Often,Often,Holds an ordinary or supported job,9,Very good,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Once a week,Less frequently,178,79,5,400,High
63,Well,No,Rarely,Often,Sometimes,Sometimes,Often,Doesn't hold an ordinary or supported job,7,Good,I dont share this with anyone,No,Once a week,Once a month,Once a month,179,65,0,1000,High
61,Very well,No,Never,Often,Rarely,Often,Always,Holds an ordinary or supported job,8,Very good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Several times a month,Once a month,168,68,24,10000,High
24,Poor,Yes,Often,Rarely,Often,Sometimes,Often,,5,Average,I dont share this with anyone,No,Less frequently,Daily,Less frequently,178,124,2,600,Medium
64,Well,No,Never,Always,Never,Always,Often,Doesn't hold an ordinary or supported job,8,Very good,Partner/spouse/boy-/girlfriend,Yes,Once a week,Several times a month,Once a month,186,75,1,0,High
63,Well,No,Rarely,Often,Sometimes,Always,Always,Holds an ordinary or supported job,8,Good,Friends/colleagues,No,Less frequently,Once a month,Less frequently,167,80,0,1500,High
50,Well,No,Rarely,Often,Sometimes,Often,Often,Holds an ordinary or supported job,9,Very good,Siblings,No,Less frequently,Less frequently,Once a month,169,70,0,500,High
45,Well,No,Rarely,Often,Rarely,Often,Often,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a month,Once a month,Less frequently,182,91,1,0,High
40,Well,Yes,Never,Often,Rarely,Always,Often,Holds an ordinary or supported job,9,Very good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Refuse to answer,Less frequently,181,82,1,2000,High
56,Well,Yes,Rarely,Often,Sometimes,Sometimes,Often,Holds an ordinary or supported job,6,Good,Friends/colleagues,Yes,Once a month,Once a month,Once a week,163,63,3,1000,High
62,Well,Yes,Sometimes,Often,Sometimes,Often,Sometimes,,7,Average,Friends/colleagues,Yes,Several times a month,Several times a week,Less frequently,179,92,1,500,Low
57,Well,Yes,Rarely,Often,Sometimes,Often,Often,Holds an ordinary or supported job,8,Very good,I dont share this with anyone,Yes,Once a month,Several times a month,Less frequently,181,95,5,2500,High
38,Well,No,Never,Always,Never,Always,Always,Holds an ordinary or supported job,9,Good,Siblings,No,Once a week,Several times a week,Several times a month,168,68,2,0,High
61,Well,No,Rarely,Often,Sometimes,Often,Always,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Once a month,Several times a week,Once a month,174,58,5,300,High
39,Average,No,Sometimes,Sometimes,Sometimes,Sometimes,Often,Holds an ordinary or supported job,6,Average,Partner/spouse/boy-/girlfriend,Yes,Once a month,Once a week,Several times a month,190,93,2,500,High
54,Average,No,Rarely,Often,Sometimes,Often,Never,Doesn't hold an ordinary or supported job,9,Average,Siblings,No,Once a week,Once a week,Less frequently,179,85,1,800,High
46,Well,No,Sometimes,Often,Often,Always,Often,Holds an ordinary or supported job,7,Average,Partner/spouse/boy-/girlfriend,Yes,Once a month,Less frequently,Less frequently,173,80,1,0,High
52,Average,No,Sometimes,Sometimes,Sometimes,Often,Sometimes,Holds an ordinary or supported job,7,Average,Friends/colleagues,No,Once a month,Once a month,Several times a month,156,48,0,300,High
53,Well,No,Never,Often,Rarely,Often,Often,Holds an ordinary or supported job,9,Good,Partner/spouse/boy-/girlfriend,Yes,Daily,Several times a month,Once a week,165,87,5,2000,High
57,Well,No,Rarely,Sometimes,Sometimes,Often,Often,Holds an ordinary or supported job,8,Good,Partner/spouse/boy-/girlfriend,Yes,Several times a week,Several times a month,Less frequently,188,96,1,400,High
64,Average,No,Sometimes,Sometimes,Sometimes,Often,Often,Doesn't hold an ordinary or supported job,5,Average,Partner/spouse/boy-/girlfriend,Yes,Less frequently,Less frequently,Less frequently,167,70,1,400,Medium
